Url,MonitorName,‘ƒ∂¡,µ„‘ﬁ,∆¿¬€,◊™∑¢
http://zhidao.baidu.com/question/687131159163748972.html,±¶ø•530,67,,1,
http://zhidao.baidu.com/question/687131159163748972.html,±¶ø•,68,,1,
http://zhidao.baidu.com/question/1866677857121804427.html,±¶ø•,18,,1,
http://zhidao.baidu.com/question/1244897348460431179.html,±¶ø•,20,,1,
https://zhidao.baidu.com/question/1546742141386396387.html,–¬±¶ø•RM-5,76,,0,
https://zhidao.baidu.com/question/924961120653321819.html,–¬±¶ø•RC-6,116,,1,
https://zhidao.baidu.com/question/924896864762808539.html,ŒÂ¡‚∫Íπ‚,48,,1,
https://zhidao.baidu.com/question/759014259739121684.html,–¬±¶ø•RM-5,17,,0,
http://zhidao.baidu.com/question/759014259739121684.html,–¬±¶ø•RM-5,18,,0,
http://zhidao.baidu.com/question/1501408928739686699.html,–¬±¶ø•RM-5,31,,0,
https://zhidao.baidu.com/question/1501408928739686699.html,–¬±¶ø•RM-5,32,,0,
http://zhidao.baidu.com/question/717897788600019285.html,–¬±¶ø•RM-5,50,,1,
https://zhidao.baidu.com/question/461769714681002285.html,±¶ø•510,71,,2,
https://zhidao.baidu.com/question/2273125412247891588.html,–¬±¶ø•RM-5,58,,1,
https://zhidao.baidu.com/question/2123189757726711547.html,–¬±¶ø•RM-5,28,,2,
http://zhidao.baidu.com/question/141705981069503085.html,ŒÂ¡‚∫Íπ‚,42,,1,
http://zhidao.baidu.com/question/2208741547576701388.html,ŒÂ¡‚∫Íπ‚,146,,0,
https://zhidao.baidu.com/question/879003194409111452.html,ŒÂ¡‚∫Íπ‚,62,,0,
http://zhidao.baidu.com/question/1696677732228128428.html,–¬±¶ø•RM-5,56,,2,
https://zhidao.baidu.com/question/1696677732228128428.html,–¬±¶ø•RM-5,57,,2,
https://zhidao.baidu.com/question/694693947324750564.html,ŒÂ¡‚∫Íπ‚,43,,1,
http://zhidao.baidu.com/question/1546741949384143587.html,–¬±¶ø•RC-6,46,,1,
https://zhidao.baidu.com/question/1546741949384143587.html,–¬±¶ø•RC-6,47,,1,
https://zhidao.baidu.com/question/717962044552362165.html,ŒÂ¡‚∫Íπ‚,50,,1,
https://zhidao.baidu.com/question/1674934200440189307.html,ŒÂ¡‚∫Íπ‚,74,,1,
http://zhidao.baidu.com/question/333897528724465365.html,ŒÂ¡‚∫Íπ‚,105,,1,
http://zhidao.baidu.com/question/2122805820644978667.html,±¶ø•360,60,,3,
http://zhidao.baidu.com/question/630566010014357204.html,ŒÂ¡‚∫Íπ‚,337,,39,
http://zhidao.baidu.com/question/879003194409111452.html,ŒÂ¡‚∫Íπ‚,63,,0,
http://zhidao.baidu.com/question/141641660989958885.html,±¶ø•360,100,,2,
https://zhidao.baidu.com/question/2208741547576701388.html,ŒÂ¡‚∫Íπ‚,147,,0,
http://zhidao.baidu.com/question/1389102944710462140.html,ŒÂ¡‚∫Íπ‚,53,,1,
http://zhidao.baidu.com/question/1772911068910827580.html,ŒÂ¡‚∫Íπ‚,13,,0,
https://zhidao.baidu.com/question/1772911068910827580.html,ŒÂ¡‚∫Íπ‚,14,,0,
https://zhidao.baidu.com/question/1611253841192460147.html,±¶ø•510,210,,3,
http://zhidao.baidu.com/question/1709231380716738380.html,–¬±¶ø•RC-6,56,,1,
https://zhidao.baidu.com/question/1866934211804622667.html,±¶ø•530,372,,2,
http://zhidao.baidu.com/question/1245089205005240179.html,±¶ø•510,56,,1,
https://zhidao.baidu.com/question/141705981069503085.html,ŒÂ¡‚∫Íπ‚,43,,1,
http://zhidao.baidu.com/question/1866678034032918787.html,ŒÂ¡‚∫Íπ‚,14,,0,
https://zhidao.baidu.com/question/1453231082162821140.html,ŒÂ¡‚∫Íπ‚,29,,1,
http://zhidao.baidu.com/question/310501767125121804.html,ŒÂ¡‚∫Íπ‚,81,,1,
http://zhidao.baidu.com/question/1674741969647649267.html,ŒÂ¡‚∫Íπ‚,40,,1,
https://zhidao.baidu.com/question/310501767125121804.html,ŒÂ¡‚∫Íπ‚,82,,1,
http://zhidao.baidu.com/question/525450065448536765.html,±¶ø•530,99,,1,
http://zhidao.baidu.com/question/717962044552362165.html,ŒÂ¡‚∫Íπ‚,51,,1,
http://zhidao.baidu.com/question/943451251672421132.html,±¶ø•360,19,,1,
http://zhidao.baidu.com/question/2273061796371734748.html,–¬±¶ø•RC-6,42,,2,
http://zhidao.baidu.com/question/717897788600019285.html,–¬±¶ø•RC-6,51,,1,
https://zhidao.baidu.com/question/2273061796371734748.html,–¬±¶ø•RC-6,43,,2,
http://zhidao.baidu.com/question/1611253841192460147.html,±¶ø•510,211,,3,
http://zhidao.baidu.com/question/333641545320680125.html,ŒÂ¡‚∫Íπ‚,65,,1,
http://zhidao.baidu.com/question/1888805583689146548.html,ŒÂ¡‚∫Íπ‚,52,,3,
http://zhidao.baidu.com/question/461514000921565885.html,–¬±¶ø•RS-5,126,,1,
https://zhidao.baidu.com/question/943451724204900652.html,±¶ø•530,14,,0,
http://zhidao.baidu.com/question/182438348271601844.html,±¶ø•530,83,,1,
http://zhidao.baidu.com/question/815195594763087452.html,ŒÂ¡‚∫Íπ‚,248,,1,
https://zhidao.baidu.com/question/589577938723580085.html,±¶ø•730,72,,1,
http://zhidao.baidu.com/question/630694794376238924.html,±¶ø•510,177,,1,
https://zhidao.baidu.com/question/182438348271601844.html,±¶ø•530,84,,1,
https://zhidao.baidu.com/question/630629897713445324.html,±¶ø•510,51,,2,
https://zhidao.baidu.com/question/630694794376238924.html,±¶ø•510,178,,1,
https://zhidao.baidu.com/question/630629897713445324.html,±¶ø•510,52,,2,
https://zhidao.baidu.com/question/653898452478531245.html,±¶ø•730,48,,1,
https://zhidao.baidu.com/question/1994805844158742307.html,±¶ø•730,352,,2,
